"ruleId","titleZhHant","grammarCategory","formula","structuralSignature","incorrectPattern","correctPattern","explanationZhHant","correctExamples","incorrectExamples","alternativeCorrections","englishVariant","status","version","author"
"INDIRECT_QUESTION_ORDER","間接問句使用陳述句語序","sentence_structure","reporting verb + question word + subject + auxiliary/verb","[""reporting_verb"",""question_word"",""auxiliary_before_subject""]","ask + question word + auxiliary + subject + verb","ask + question word + subject + auxiliary/verb","間接問句不是獨立問題，因此使用陳述句語序。疑問詞後面先寫主語，再寫動詞。","[""She asked where we should go."",""I do not know what he wants."",""Can you tell me when the lesson will start?""]","[""She asked where should we go."",""I do not know what does he want."",""Can you tell me when will the lesson start?""]","[]","both","approved","1","Edmund Sir"
"SUGGEST_CONSTRUCTION","suggest 的句型","sentence_structure","suggest that + subject + base verb / suggest + verb-ing","[""suggest"",""object_pronoun"",""to_infinitive""]","suggest someone to do","suggest that someone do or suggest doing","suggest 通常使用 suggest that + 主語 + 動詞，或者 suggest + verb-ing。不要直接寫 suggest someone to do。","[""They suggested that we visit the temple."",""They suggested visiting the temple.""]","[""They suggested us to visit the temple.""]","[""They suggested visiting the temple.""]","both","approved","1","Edmund Sir"
"PASSIVE_RELATIVE_CLAUSE","關係子句中的被動語態","verb_form_or_tense","relative pronoun + be + past participle","[""inanimate_subject"",""relative_pronoun"",""bare_past_participle""]","thing + that + past participle without be","thing + that + be + past participle","主語是動作的承受者時，關係子句需要使用 be + 過去分詞的被動語態。","[""a temple that was built five hundred years ago""]","[""a temple that built five hundred years ago""]","[]","both","approved","1","Edmund Sir"
"RAIN_IT_CONSTRUCTION","描述下雨時使用形式主語 it","sentence_structure","it + be + raining","[""weather_subject"",""be"",""raining""]","the weather + be + raining","it + be + raining","描述正在下雨時，最自然的主語通常是形式主語 it。","[""It was raining heavily.""]","[""The weather was raining heavily.""]","[""The weather was rainy.""]","both","approved","1","Edmund Sir"
"ADVERB_POSITION","副詞放在適當位置修飾動詞","word_form","verb + manner adverb","[""manner_adverb"",""verb_ing""]","manner adverb before the target verb in this construction","target verb + manner adverb","副詞修飾動作的程度或方式時，要放在合適的位置。","[""It was raining heavily.""]","[""It was heavily raining.""]","[]","both","approved","1","Edmund Sir"
"THIRD_CONDITIONAL_RESULT","第三條件句的結果部分","verb_form_or_tense","If + had + past participle, would have + past participle","[""if_had_participle"",""would"",""past_form_without_have""]","If + had + past participle, would + past form","If + had + past participle, would have + past participle","第三條件句談論未發生的過去情況；結果部分通常使用 would have + 過去分詞。","[""If we had brought an umbrella, we would not have got wet.""]","[""If we had brought an umbrella, we would not got wet.""]","[""would not have gotten wet""]","both","approved","1","Edmund Sir"
"PAST_TENSE_PARALLEL","敘述過去事件時保持並列動詞時態一致","parallelism","past verb + and + past verb","[""past_narrative"",""past_verb"",""and"",""base_verb""]","past verb + and + base present verb in a past narrative","past verb + and + past verb","同一過去敘述中的並列動作，通常使用一致的過去式。","[""The journey gave us memories and broadened our knowledge.""]","[""The journey gave us memories and broaden our knowledge.""]","[]","both","approved","1","Edmund Sir"
"ADJ_ACCESSIBLE_BE_COMPLEMENT","文法規則：ADJ ACCESSIBLE BE_COMPLEMENT","word_form","ADJ.ACCESSIBLE.BE_COMPLEMENT","[""adj"",""accessible"",""be_complement""]","the area could only access","the area was accessible only","area 是可被到達的地方，應用形容詞 accessible 配合 be。 若使用動詞，主語應是人：People could access the area。","[""the area was accessible only""]","[""the area could only access""]","[]","British English","approved","1","Edmund Sir"
"ADJ_ADJACENT_TO","文法規則：ADJ ADJACENT TO","word_form","ADJ.ADJACENT.TO","[""adj"",""adjacent"",""to""]","adjacent with it","beside it","adjacent 的固定搭配是 adjacent to，不用 with。 目標句採用較簡單的 beside it。","[""beside it""]","[""adjacent with it""]","[]","British English","approved","1","Edmund Sir"
"ADJ_AWARE_OF","文法規則：ADJ AWARE OF","word_form","ADJ.AWARE.OF","[""adj"",""aware"",""of""]","aware about","aware of","aware 後面通常用 of + 名詞，或接 that 分句： aware of the pressure／ aware that staff were under pressure。","[""aware of""]","[""aware about""]","[]","British English","approved","1","Edmund Sir"
"ADJ_CONCERNED_ABOUT","文法規則：ADJ CONCERNED ABOUT","word_form","ADJ.CONCERNED.ABOUT","[""adj"",""concerned"",""about""]","concerned of","concerned about","表示為某事擔憂，用 concerned about。 concerned with 可表示涉及某個主題，意思不同。","[""concerned about""]","[""concerned of""]","[]","British English","approved","1","Edmund Sir"
"ADJ_ENOUGH_AFTER_ADJECTIVE","文法規則：ADJ ENOUGH AFTER_ADJECTIVE","word_form","ADJ.ENOUGH.AFTER_ADJECTIVE","[""adj"",""enough"",""after_adjective""]","enough clear","clear enough","enough 修飾形容詞或副詞時，放在它們後面。公式：形容詞／副詞 + enough。 邊界： enough 修飾名詞時放在名詞前面，例如 enough information。","[""clear enough""]","[""enough clear""]","[]","British English","approved","1","Edmund Sir"
"ADJ_EQUIVALENT_TO","文法規則：ADJ EQUIVALENT TO","word_form","ADJ.EQUIVALENT.TO","[""adj"",""equivalent"",""to""]","equals with","is equivalent to","固定結構是 be equivalent to + 名詞。動詞 equal 則直接接賓語，例如 The reduction equals 25 points。","[""is equivalent to""]","[""equals with""]","[]","British English","approved","1","Edmund Sir"
"ADJ_LIKELY_TO_INFINITIVE","文法規則：ADJ LIKELY TO_INFINITIVE","word_form","ADJ.LIKELY.TO_INFINITIVE","[""adj"",""likely"",""to_infinitive""]","less likely of developing","less likely to develop","likely 後面表示可能發生的動作時，用 to + 動詞原形。公式：be likely to do。如果使用名詞 likelihood，則可寫 the likelihood of developing an illness。","[""less likely to develop""]","[""less likely of developing""]","[]","British English","approved","1","Edmund Sir"
"ADJ_RESPONSIBLE_FOR_GERUND","文法規則：ADJ RESPONSIBLE FOR_GERUND","word_form","ADJ.RESPONSIBLE.FOR_GERUND","[""adj"",""responsible"",""for_gerund""]","responsible recording","responsible for recording","responsible 表示「負責某件事」時，用 responsible for + 名詞／動名詞。邊界： responsible to the manager 可表示「向經理負責」。","[""responsible for recording""]","[""responsible recording""]","[]","British English","approved","1","Edmund Sir"
"ADJ_TOO_TO_CAUSATIVE_KEEP_OBJECT","文法規則：ADJ TOO_TO CAUSATIVE_KEEP_OBJECT","word_form","ADJ.TOO_TO.CAUSATIVE_KEEP_OBJECT","[""adj"",""too_to"",""causative_keep_object""]","wet and the jacket too thin can't keep warm","wet, and their jacket is too thin to keep them warm","第二部分需要完整主句： their jacket is...。 too + 形容詞 + to + 動詞原形表示程度過高而無法達到結果； keep 還需要受詞和形容詞補語：keep them warm。","[""wet, and their jacket is too thin to keep them warm""]","[""wet and the jacket too thin can't keep warm""]","[]","British English","approved","1","Edmund Sir"
"ADJ_WORTH_GERUND","文法規則：ADJ WORTH GERUND","word_form","ADJ.WORTH.GERUND","[""adj"",""worth"",""gerund""]","worth to restore","worth restoring","worth 後面接名詞或動名詞，不接 to 不定詞。公式：be worth + 動名詞。也可寫 It is worthwhile to restore the films.","[""worth restoring""]","[""worth to restore""]","[]","British English","approved","1","Edmund Sir"
"ADVERB_EASILY_MODIFIES_LOCATE","文法規則：ADVERB EASILY MODIFIES_LOCATE","word_form","ADVERB.EASILY.MODIFIES_LOCATE","[""adverb"",""easily"",""modifies_locate""]","easy to","easily","easy 是形容詞，不能直接修飾動作 locate； 應使用副詞 easily。 此外， will 後面直接接動詞原形，不加 to。","[""easily""]","[""easy to""]","[]","British English","approved","1","Edmund Sir"
"ADVERB_FOCUS_MORE_AFTER_VERB","文法規則：ADVERB FOCUS_MORE AFTER_VERB","word_form","ADVERB.FOCUS_MORE.AFTER_VERB","[""adverb"",""focus_more"",""after_verb""]","help students more focus","help students focus more","help + 人 + 動詞原形是正確結構；程度副詞 more 在這裡修飾 focus，通常放在動詞後面。另一個正確寫法是 help students to focus more。","[""help students focus more""]","[""help students more focus""]","[]","British English","approved","1","Edmund Sir"
"ADVERB_HARD_NOT_HARDLY_EFFORT","文法規則：ADVERB HARD NOT_HARDLY EFFORT","word_form","ADVERB.HARD.NOT_HARDLY.EFFORT","[""adverb"",""hard"",""not_hardly"",""effort""]","worked hardly","worked hard","hard 可作副詞，表示努力地； hardly 表示「幾乎不」。因此 worked hardly 會變成幾乎沒有工作，不符合原意。","[""worked hard""]","[""worked hardly""]","[]","British English","approved","1","Edmund Sir"
"ADVERB_RANK_FIRST_NO_THE","文法規則：ADVERB RANK_FIRST NO_THE","word_form","ADVERB.RANK_FIRST.NO_THE","[""adverb"",""rank_first"",""no_the""]","the first","first","first 在 rank first 中作排名補語，不使用冠詞。對照名詞詞組： the first position。","[""first""]","[""the first""]","[]","British English","approved","1","Edmund Sir"
"AGE_PEOPLE_AGED_RANGE","文法規則：AGE PEOPLE_AGED RANGE","word_choice","AGE.PEOPLE_AGED.RANGE","[""age"",""people_aged"",""range""]","the population of 0-14 years old","people aged 0–14","表示某個年齡範圍內的人，可用 people aged + 年齡範圍。 years old 通常放在明確年齡後作表語，例如 They are 14 years old，不能直接寫 population of 0–14 years old。","[""people aged 0–14""]","[""the population of 0-14 years old""]","[]","British English","approved","1","Edmund Sir"
"AGE_RANGE_ATTRIBUTIVE_AGE_GROUP","文法規則：AGE RANGE ATTRIBUTIVE_AGE_GROUP","word_choice","AGE.RANGE.ATTRIBUTIVE_AGE_GROUP","[""age"",""range"",""attributive_age_group""]","15-59 age group will exceed 0-14 years old","15–59 age group will exceed the 0–14 age group","年齡範圍放在 age group 前作修飾語時，不使用 years old。公式：the 0–14 age group。 對照： children who are 14 years old。","[""15–59 age group will exceed the 0–14 age group"",""15–59 age group""]","[""15-59 age group will exceed 0-14 years old"",""15-59 years old age group""]","[]","British English","approved","1","Edmund Sir"
"AMBIGUOUS_EXPAND_AFFORD_CONDITIONAL_RECONSTRUCTION","文法規則：AMBIGUOUS EXPAND_AFFORD CONDITIONAL_RECONSTRUCTION","other_grammar","AMBIGUOUS.EXPAND_AFFORD.CONDITIONAL_RECONSTRUCTION","[""ambiguous"",""expand_afford"",""conditional_reconstruction""]","can't expand that even cause","can't afford such clothes, this may even cause","expand 不表示「有能力購買」。按上下文，可能原意是 afford such clothes。此外， if 分句後必須有完整主句，因此補上主語和有限動詞 this may even cause。 由於 expand 可能代表其他原意，不能在沒有上下文時自動修改。","[""can't afford such clothes, this may even cause""]","[""can't expand that even cause""]","[]","British English","approved","1","Edmund Sir"
"APPOSITION_NONRESTRICTIVE_COMMAS","文法規則：APPOSITION NONRESTRICTIVE COMMAS","sentence_structure","APPOSITION.NONRESTRICTIVE.COMMAS","[""apposition"",""nonrestrictive"",""commas""]","Maya the programme officer","Maya, the programme officer,","the programme officer 是補充 Maya 身分的非限制性同位語，前後使用逗號。若有多位名叫 Maya 的人，而職位用來辨認其中一位，標點可能不同。","[""Maya, the programme officer,""]","[""Maya the programme officer""]","[]","British English","approved","1","Edmund Sir"
"APPOSITION_UNIQUE_ROLE_THE_AND_COMMAS","文法規則：APPOSITION UNIQUE_ROLE THE_AND_COMMAS","sentence_structure","APPOSITION.UNIQUE_ROLE.THE_AND_COMMAS","[""apposition"",""unique_role"",""the_and_commas""]","programme director","the programme director","the programme director 是補充說明 Professor Malik 身分的非限制性同位語。它指一個特定職位，因此使用 the，並由逗號分隔。","[""the programme director""]","[""programme director""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_AMOUNT_OF_WORK_AN","文法規則：ARTICLE AMOUNT_OF_WORK AN","article_or_determiner","ARTICLE.AMOUNT_OF_WORK.AN","[""article"",""amount_of_work"",""an""]","extra amount","an extra amount","amount 是單數可數名詞，前面需要限定詞，所以寫 an extra amount of work。更自然但較非最小的寫法是 take on extra work。","[""an extra amount""]","[""extra amount""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_AN_SINGULAR_COUNT_NOUN","文法規則：ARTICLE AN SINGULAR_COUNT_NOUN","article_or_determiner","ARTICLE.AN.SINGULAR_COUNT_NOUN","[""article"",""an"",""singular_count_noun""]","employees","employee,","an 後面接單數可數名詞，所以寫 an employee。 複數形式則不用 an： employees。","[""employee,""]","[""employees""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_A_PLURAL_NOUN_DELETE","文法規則：ARTICLE A PLURAL_NOUN DELETE","article_or_determiner","ARTICLE.A.PLURAL_NOUN.DELETE","[""article"",""a"",""plural_noun"",""delete""]","a clear boundaries","clear boundaries","a 只能接單數可數名詞，不能接複數 boundaries。可寫 a clear boundary 或 clear boundaries；本段談多種界線，所以採用複數。","[""clear boundaries""]","[""a clear boundaries""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_A_SINGULAR_COUNT_NOUN","文法規則：ARTICLE A SINGULAR_COUNT_NOUN","article_or_determiner","ARTICLE.A.SINGULAR_COUNT_NOUN","[""article"",""a"",""singular_count_noun""]","shops","shop,","a 只能接單數可數名詞，所以寫 a shop。複數形式則應寫 shops，並刪除 a。","[""shop,""]","[""shops""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_COUNTRY_NETHERLANDS_THE","文法規則：ARTICLE COUNTRY NETHERLANDS THE","article_or_determiner","ARTICLE.COUNTRY.NETHERLANDS.THE","[""article"",""country"",""netherlands"",""the""]","Netherlands","the Netherlands","標準國名是 the Netherlands。對照： France、 Japan 等大部分國名不用冠詞。","[""the Netherlands"",""from the Netherlands""]","[""Netherlands"",""from Netherlands""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_COUNTRY_UNITED_KINGDOM_THE","文法規則：ARTICLE COUNTRY UNITED_KINGDOM THE","article_or_determiner","ARTICLE.COUNTRY.UNITED_KINGDOM.THE","[""article"",""country"",""united_kingdom"",""the""]","from United Kingdom","from the United Kingdom","國名 the United Kingdom 固定帶 the。國名冠詞應按已核准的專名資料處理，不宜推廣成所有國名都加 the。","[""from the United Kingdom""]","[""from United Kingdom""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_DEFINED_DISTRICT_THE","文法規則：ARTICLE DEFINED_DISTRICT THE","article_or_determiner","ARTICLE.DEFINED_DISTRICT.THE","[""article"",""defined_district"",""the""]","district","the district","這裡指前文已界定的 Riverside district，因此使用 the district。","[""the district""]","[""district""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_END_OF_PERIOD_THE","文法規則：ARTICLE END_OF_PERIOD THE","article_or_determiner","ARTICLE.END_OF_PERIOD.THE","[""article"",""end_of_period"",""the""]","At","At the","固定結構是 at the end of + 時段／事物。 in the end 則表示「最終」。","[""At the""]","[""At""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_HOSPITAL_INSTITUTIONAL_ZERO_BRITISH","文法規則：ARTICLE HOSPITAL INSTITUTIONAL_ZERO_BRITISH","article_or_determiner","ARTICLE.HOSPITAL.INSTITUTIONAL_ZERO_BRITISH","[""article"",""hospital"",""institutional_zero_british""]","go to the hospital","go to hospital","英式英文中，病人為接受醫療而去醫院，可用 go to hospital。美式英文常用 go to the hospital，因此不可把美式形式判作文法錯誤。","[""go to hospital""]","[""go to the hospital""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_HOSPITAL_SPECIFIC_BUILDING_THE","文法規則：ARTICLE HOSPITAL SPECIFIC_BUILDING_THE","article_or_determiner","ARTICLE.HOSPITAL.SPECIFIC_BUILDING_THE","[""article"",""hospital"",""specific_building_the""]","go to hospital as visitors","go to the hospital as visitors","以訪客身分前往某間醫院建築，不是接受住院服務，因此使用 the hospital。","[""go to the hospital as visitors""]","[""go to hospital as visitors""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INDEFINITE_CONSONANT_SOUND_A","文法規則：ARTICLE INDEFINITE CONSONANT_SOUND A","article_or_determiner","ARTICLE.INDEFINITE.CONSONANT_SOUND.A","[""article"",""indefinite"",""consonant_sound"",""a""]","an","a","community 以輔音音素/k/開始，前面用 a， 不用 an。 公式：a + 輔音音素開首的單數可數名詞。","[""a""]","[""an""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INDEFINITE_FIRST_MENTION_A","文法規則：ARTICLE INDEFINITE FIRST_MENTION A","article_or_determiner","ARTICLE.INDEFINITE.FIRST_MENTION.A","[""article"",""indefinite"",""first_mention"",""a""]","the fair","a fair","這裡首次提出一種尚未特定的校園環境，因此使用 a fair school environment。若前文已界定某一個特定環境， the 才可能成立。","[""a fair""]","[""the fair""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INSTITUTION_CLASS_ZERO_ACTIVITY","文法規則：ARTICLE INSTITUTION CLASS ZERO_ACTIVITY","article_or_determiner","ARTICLE.INSTITUTION.CLASS.ZERO_ACTIVITY","[""article"",""institution"",""class"",""zero_activity""]","in the class","in class","in class 表示正在上課或參與課堂活動。in the class 可指某一個已知班別，例如 the talleststudent in the class，所以要按原意判斷。","[""in class""]","[""in the class""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INSTITUTION_UNIVERSITY_OF_NAME_THE","文法規則：ARTICLE INSTITUTION UNIVERSITY_OF_NAME THE","article_or_determiner","ARTICLE.INSTITUTION.UNIVERSITY_OF_NAME.THE","[""article"",""institution"",""university_of_name"",""the""]","at University of Westhaven","at the University of Westhaven","the University of Westhaven 是本資料集指定的官方名稱形式。 University of + 地名常帶 the，但系統仍應按機構正式名稱核對。","[""at the University of Westhaven""]","[""at University of Westhaven""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INSTITUTION_UNIVERSITY_ZERO_ROLE","文法規則：ARTICLE INSTITUTION UNIVERSITY ZERO_ROLE","article_or_determiner","ARTICLE.INSTITUTION.UNIVERSITY.ZERO_ROLE","[""article"",""institution"",""university"",""zero_role""]","attend the university","attend university","英式英文中，以學生身分接受大學教育時可使用零冠詞： attend university。若指某一所特定大學， attend the university 也可能正確。","[""attend university""]","[""attend the university""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_INSTITUTION_UNIVERSITY_ZERO_STUDENT_ROLE","文法規則：ARTICLE INSTITUTION UNIVERSITY ZERO_STUDENT_ROLE","article_or_determiner","ARTICLE.INSTITUTION.UNIVERSITY.ZERO_STUDENT_ROLE","[""article"",""institution"",""university"",""zero_student_role""]","attend the university","attend university","英式英文中，表示以學生身分接受大學教育時，可使用零冠詞： attend university／go to university。若指某間特定大學， attend the university 也可能成立。","[""attend university"",""go to university to study""]","[""attend the university"",""go to the university to study""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_MEAL_ROUTINE_ZERO","文法規則：ARTICLE MEAL ROUTINE_ZERO","article_or_determiner","ARTICLE.MEAL.ROUTINE_ZERO","[""article"",""meal"",""routine_zero""]","have the breakfast","have breakfast","泛指日常用餐活動時，餐名通常用零冠詞： have breakfast。指某一頓特定早餐時可寫 the breakfast served by the hotel。","[""have breakfast""]","[""have the breakfast""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_MEDIA_TELEVISION_ZERO","文法規則：ARTICLE MEDIA TELEVISION ZERO","article_or_determiner","ARTICLE.MEDIA.TELEVISION.ZERO","[""article"",""media"",""television"",""zero""]","watch the television","watch television","表示觀看電視節目這種活動時，通常寫 watch television。 watch the television 可表示注視某部電視機。","[""watch television""]","[""watch the television""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_MONTH_NAME_ZERO","文法規則：ARTICLE MONTH_NAME ZERO","article_or_determiner","ARTICLE.MONTH_NAME.ZERO","[""article"",""month_name"",""zero""]","the September 2023","September 2023","月份名稱直接與年份配合時通常不用冠詞：in September 2023。若有修飾語，可寫 in the September of that year，但意思和結構不同。","[""September 2023""]","[""the September 2023""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_MOST_OF_DEFINITE_PERIOD","文法規則：ARTICLE MOST_OF DEFINITE_PERIOD","article_or_determiner","ARTICLE.MOST_OF.DEFINITE_PERIOD","[""article"",""most_of"",""definite_period""]","most of period","most of the period","most of 後面接特定單數名詞時，需要限定詞： most of the period。 泛指多個時段則可寫 most periods。","[""most of the period""]","[""most of period""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_NAMED_DISTRICT_THE","文法規則：ARTICLE NAMED_DISTRICT THE","article_or_determiner","ARTICLE.NAMED_DISTRICT.THE","[""article"",""named_district"",""the""]","Riverside district","the Riverside district","district 是普通可數名詞， Riverside 在這裡只用作名稱修飾語，因此完整名詞詞組使用 the Riverside district。正式名稱若只是 Riverside，則可能不用冠詞。","[""the Riverside district""]","[""Riverside district""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_ORDINAL_RANK_THE_SECOND_LARGEST","文法規則：ARTICLE ORDINAL_RANK THE_SECOND_LARGEST","article_or_determiner","ARTICLE.ORDINAL_RANK.THE_SECOND_LARGEST","[""article"",""ordinal_rank"",""the_second_largest""]","a second largest source","the second-largest source","表示已界定群體中的第二名，使用 the + 序數詞 + 最高級。 second-largest 共同修飾 source， 所以加連字號。","[""the second-largest source""]","[""a second largest source""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_ORDINAL_SPECIFIC_THE","文法規則：ARTICLE ORDINAL SPECIFIC_THE","article_or_determiner","ARTICLE.ORDINAL.SPECIFIC_THE","[""article"",""ordinal"",""specific_the""]","During first week","During the first week","序數詞表示某個明確次序時，通常使用 the： the first week。若 First Week 是正式活動名稱，冠詞模式可能不同。","[""During the first week""]","[""During first week""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_PART_OF_THE_LAND","文法規則：ARTICLE PART_OF_THE_LAND","article_or_determiner","ARTICLE.PART_OF_THE_LAND","[""article"",""part_of_the_land""]","farmland","the farmland","這裡指前文已提及的特定 farmland，因此使用 the。泛指農地時，零冠詞可以成立。","[""the farmland""]","[""farmland""]","[]","British English","approved","1","Edmund Sir"
"ARTICLE_PLURAL_NOUN_NO_A","文法規則：ARTICLE PLURAL_NOUN NO_A","article_or_determiner","ARTICLE.PLURAL_NOUN.NO_A","[""article"",""plural_noun"",""no_a""]","a normal students only have","normal students have only","a 只能配合單數可數名詞。可寫 a normal student 或 normal students；本句採用複數，與前面的 some affluent students 對照。","[""normal students have only""]","[""a normal students only have""]","[]","British English","approved","1","Edmund Sir"
